ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total
7345,154001008959,CÚCUTA,NORTE DE SANTANDER,COL JOSE AQUILINO DURAN,Oficial,A,25,25,5784,242,30,4.711.065.292,4.035.316.467,4.113.532.066,287.5,288,294.5,55.60,42.87,88.97,62.48
7346,173001010427,IBAGUÉ,TOLIMA,INST. EDUC MODELIA,Oficial,A,30,26,6477,236,27,4.253.149.986,4.515.164.852,4.850.210.667,275,278,284.5,53.68,45.40,88.37,62.48
7347,150001005393,VILLAVICENCIO,META,UNIDAD EDUCATIVA ARNULFO BRICE¿O CONTRERAS,Oficial,A,115,115,5843,242,41,4.289.976.597,4.962.331.295,43.414.011,307.5,296.5,286,56.60,45.31,85.51,62.47
7348,105001000175,MEDELLÍN,ANTIOQUIA,INST EDUC GABRIEL RESTREPO MORENO,Oficial,A,38,37,5753,243,42,4.070.055.485,4.208.460.331,593.718.338,280,292.5,287.5,55.15,47.39,84.88,62.47
7349,113433000268,MAHATES,BOLIVAR,I.E.T.A. LAZARO MARTINEZ OLIER,Oficial,A,98,98,8893,205,31,3.994.618.654,5.010.296.345,5.362.505.436,267,274,307,52.65,47.89,86.86,62.47
7350,111001002909,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO CARLOS ALBAN HOLGUIN (IED),Oficial,A,308,300,5591,244,36,4.303.304.195,4.689.228.535,4.415.511.608,296.5,293,284.5,55.90,44.69,86.81,62.47
7351,270429000731,MAJAGUAL,SUCRE,I.E. SAN ROQUE,Oficial,A,20,20,8135,218,36,3.969.891.071,5.552.155.495,4.727.422.714,271.5,272.5,319.5,54.08,47.50,85.83,62.47
7352,123555000701,PLANETA RICA,CORDOBA,INST.EDUC. LA ESPERANZA,Oficial,A,38,36,7238,229,37,4.662.955.761,4.351.451.397,4.782.263.756,289.5,271,331.5,56.05,45.99,85.36,62.47
7353,308001013402,SOLEDAD,ATLANTICO,COLEGIO MIXTO MIGUEL DE CERVANTES SAAVEDRA,Privado,A,9,9,7173,230,43,4.123.212.814,0,0,325.5,321,361.5,61.90,41.23,84.25,62.46
7354,111279000061,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO ANTONIO VAN UDEN  (IED),Oficial,A,168,163,5028,249,40,4.324.894.905,4.200.300.217,4.507.853.985,306.5,299.5,308.5,58.18,43.44,85.75,62.46
7355,225885001001,YACOPÍ,CUNDINAMARCA,INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL TÉCNICO AGROPECUARIO,Oficial,A,19,19,8110,218,31,3.542.729.855,4.009.292.126,0,298,346,379,62.05,37.76,87.55,62.45
7356,205756001044,SONSÓN,ANTIOQUIA,I. E. R. LA DANTA,Oficial,A,38,38,6267,238,34,549.057.436,5.493.409.157,4.557.441.711,0,242.5,0,48.05,51.80,87.50,62.45
7357,108770000012,SUAN,ATLANTICO,I.E. ADOLFO LEÓN BOLIVAR MARENCO DE SUAN,Oficial,A,124,124,7527,226,38,4.169.358.253,4.649.413.109,5.631.592.751,276.5,280,289,53.58,48.17,85.61,62.45
7358,111001030830,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO UNION EUROPEA (IED),Oficial,A,103,101,5706,243,36,4.286.411.762,4.444.619.179,4.438.189.507,296.5,303.5,289,56.60,43.90,86.85,62.45
7359,154001002462,CÚCUTA,NORTE DE SANTANDER,COL  JULIO PEREZ FERRERO,Oficial,A,104,104,4642,252,41,4.551.877.499,4.645.914.078,4.185.371.876,297.5,297.5,287.5,56.73,44.61,86.01,62.45
7360,176616000013,RIOFRÍO,VALLE,IE PRIMITIVO CRESPO,Oficial,A,63,63,6700,234,33,4.296.901.226,4.602.036.953,4.020.138.264,285,306,307.5,56.63,43.06,87.64,62.44
7361,113001030093,CARTAGENA DE INDIAS,BOLIVAR,INSTITUCION EDUCATIVA FUNDACION PIES DESCALZOS,Oficial,A,34,34,7043,231,37,5.589.657.307,5.370.917.797,3.974.415.779,265,255.5,275.5,51.35,49.78,86.19,62.44
7362,283001000561,FLORENCIA,CAQUETA,SANTANDER,Oficial,A,15,15,4580,252,30,4.123.784.542,0,0,310,268.5,304,56.73,41.24,89.36,62.44
7363,166400000401,LA VIRGINIA,RISARALDA,CENT EDUC BTO EN BIENESTAR RURAL-LA VIRGINIA,Privado,A,3,2,4813,251,68,0,0,0,282,0,0,53.30,0.00,71.58,62.44
7364,173504000330,ORTEGA,TOLIMA,INSTITUCION EDUCATIVA JHON F KENNEDY,Oficial,A,34,32,7210,229,33,5.131.856.441,4.397.489.071,4.562.960.625,300,279.5,265,53.68,46.97,86.66,62.44
7365,125580000298,PULÍ,CUNDINAMARCA,INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADO,Oficial,A,24,24,6335,238,42,4.232.594.967,4.085.139.751,5.272.797.585,297.5,308.5,296,57.00,45.30,85.00,62.43
7366,168081003333,BARRANCABERMEJA,SANTANDER,INSTITUCION EDUCATIVA CIUDADELA DEL MAGDALENA MEDIO,Oficial,A,139,139,6875,233,42,4.814.844.131,5.111.977.577,4.397.492.886,287.5,298,278,54.83,47.75,84.73,62.43
7367,254810000629,EL TARRA,NORTE DE SANTANDER,INSTITUCION EDUCATIVA FILO EL GRINGO,Oficial,A,24,24,8559,211,33,5.254.973.888,4.959.576.607,432.667.923,270,276.5,289.5,52.35,48.47,86.48,62.43
7368,376109008290,BUENAVENTURA,VALLE,COLEGIO TECNICO EN SISTEMAS PUERTO DEL MAR,Privado,A,13,13,8095,218,25,390.024.662,3.684.734.344,5.505.179.405,273,295,293,53.95,43.63,89.71,62.43
7369,268615002146,RIONEGRO,SANTANDER,COLEGIO CARLOS JULIO GARCIA,Oficial,A,26,25,8462,213,41,4.121.078.968,4.102.540.016,6.718.695.164,284.5,308,279.5,54.25,49.81,83.24,62.43
7370,115533000179,PAYA,BOYACA,IE TEC SIMONA AMAYA,Oficial,A,15,15,7035,231,35,389.576.745,4.425.333.023,5.080.769.062,312,284.5,288,55.78,44.67,86.84,62.43
7371,376001008633,CALI,VALLE,INCOVAL,Privado,B,17,13,2695,270,49,452.341.938,5.928.354.263,0,0,0,0,54.00,52.26,81.03,62.43
7372,268101000250,EL PEÑÓN,SANTANDER,INSTITUCION EDUCATIVA RIO BLANCO,Oficial,A,17,17,7195,229,29,0,4.386.886.597,4.170.749.187,275,297.5,313,55.73,42.79,88.76,62.42
7373,123670000383,SAN ANDRÉS DE SOTAVENTO,CORDOBA,IE ALIANZA,Oficial,A,123,117,6764,234,41,484.636.116,5.313.951.015,4.511.567.116,276.5,289.5,280,54.00,48.91,84.36,62.42
7374,223417000461,LORICA,CORDOBA,IE SAN LUIS CAMPO ALEGRE,Oficial,A,32,32,8196,217,34,3.981.045.723,3.859.396.458,5.948.204.041,272,284.5,323.5,54.85,45.96,86.45,62.42
7375,123580000210,PUERTO LIBERTADOR,CORDOBA,IE JOSE MERIA CORDOBA,Oficial,A,72,68,5273,247,39,4.767.118.454,5.511.374.474,4.280.614.376,276,260,279.5,53.13,48.53,85.61,62.42
7376,205147000457,CAREPA,ANTIOQUIA,I.E.R. EL CERRO,Oficial,A,21,19,8991,202,25,4.894.551.754,0,0,298.5,258.5,248.5,50.38,48.95,87.94,62.42
7377,125372000322,JUNÍN,CUNDINAMARCA,INSTITUCION EDUCTIVA DEPARTAMENTAL ESCUELA NORMAL SUPERIOR JUNIN,Oficial,A,57,57,6348,238,44,4.286.980.152,4.746.016.502,4.116.809.845,303,332,307.5,59.03,43.83,84.40,62.42
7378,370001003188,SINCELEJO,SUCRE,INSTITUCION EDUCATIVA PEDAGOGICO VENECIA,Privado,A,43,36,5069,249,44,4.296.431.541,2.921.993.732,4.905.166.626,306,353,378,64.30,40.41,82.54,62.42
7379,113001001816,CARTAGENA DE INDIAS,BOLIVAR,INSTITUCION EDUCATIVA JOSE DE LA VEGA,Oficial,A,185,178,7887,221,33,4.653.283.119,4.946.915.627,5.259.179.115,259,267,277,51.20,49.53,86.52,62.42
7380,113001005374,CARTAGENA DE INDIAS,BOLIVAR,INSTITUCION EDUCATIVA ANTONIA SANTOS,Oficial,A,121,111,6947,232,36,5.086.165.428,4.461.352.825,4.360.571.861,308.5,268,300,55.43,46.36,85.46,62.41
7381,285001000521,YOPAL,CASANARE,IE POLICARPA SALAVARRIETA,Oficial,A,33,33,5517,245,41,4.169.659.138,4.387.143.135,4.873.383.045,290,290,311,56.80,44.77,85.66,62.41
7382,219418000891,LÓPEZ DE MICAY,CAUCA,I.E. SANTA CRUZ ALTO SIGUI,Privado,A,14,3,9437,181,27,0,0,0,240.5,245.5,293,48.00,0.00,76.82,62.41
7383,227361000816,MEDIO SAN JUAN,CHOCO,IE JOAQUIN URRUTIA,Oficial,A,17,16,8294,215,24,3.761.225.224,5.100.437.641,43.565.588,276.5,274,310.5,53.80,44.06,89.37,62.41
7384,176834003989,TULUÁ,VALLE,INSTITUCION EDUCATIVA TECNICA OCCIDENTE,Oficial,A,249,238,4431,254,45,436.170.578,539.475.584,4.378.235.817,296.5,279,287,55.83,47.12,84.28,62.41
7385,111001046485,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED),Oficial,A,99,94,3857,259,43,4.351.406.574,5.004.577.637,4.401.116.848,286.5,290.5,290.5,56.33,45.86,85.04,62.41
7386,219142000204,GUACHENÉ,CAUCA,I.E. INTEGRADO OBANDO,Oficial,A,17,15,9200,195,19,4.366.666.794,5.155.137.539,0,264.5,253,277.5,49.50,47.61,90.08,62.40
7387,205031000191,AMALFI,ANTIOQUIA,I. E. R. PORTACHUELO,Oficial,A,11,11,6705,234,34,4.230.618.477,4.022.024.632,469.153.595,289.5,306.5,304.5,56.73,43.15,87.31,62.40
7388,220250006128,EL PASO,CESAR,I.E. VALENTIN MANJARREZ,Oficial,A,37,36,6714,234,35,5.338.493.824,4.627.786.636,4.402.322.292,291.5,267,260.5,52.65,47.90,86.64,62.39
7389,173675000010,SAN ANTONIO,TOLIMA,INSTITUCION EDUCATIVA JOSE MARIA CARBONELL,Oficial,A,93,92,5695,243,35,4.268.039.703,425.458.765,4.229.371.071,291,303.5,310.5,57.40,42.51,87.27,62.39
7390,108001002878,BARRANQUILLA,ATLANTICO,INSTITUCION EDUCATIVA DISTRITAL JAVIER SANCHEZ,Oficial,A,42,40,4222,255,33,3.882.228.374,5.212.971.687,4.480.402.946,279,270.5,274,53.93,45.25,88.00,62.39
7391,173268001346,ESPINAL,TOLIMA,INSTITUCION EDUCATIVA RAFAEL URIBE URIBE,Oficial,A,34,33,6919,232,32,4.949.094.772,3.844.986.916,4.815.797.806,282,287.5,284,54.28,45.37,87.52,62.39
7392,217001001581,MANIZALES,CALDAS,INSTITUCIÓN EDUCATIVA RURAL LA CABAÑA,Oficial,A,20,20,5726,243,39,3.940.320.492,4.331.202.984,0,295,317,337.5,59.63,41.36,86.17,62.38
7393,247318000528,GUAMAL,MAGDALENA,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL SAN PEDRO APOSTOL LAS FLORES,Oficial,A,35,32,8096,218,26,3.834.847.927,5.361.166.954,5.191.282.749,243,254.5,299.5,50.75,47.96,88.43,62.38
7394,111001036765,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO JOSE MARTI (IED),Oficial,A,74,74,5015,249,39,4.420.296.192,4.213.507.652,4.602.198.601,291,296.5,294.5,56.55,44.12,86.46,62.38
7395,168705000016,SANTA BÁRBARA,SANTANDER,INSTITUTO TECNICO AGRICOLA RAFAEL ORTIZ GONZALEZ,Oficial,A,27,27,5990,241,48,4.326.493.263,3.917.405.128,4.836.583.138,319.5,312,330,60.13,43.60,83.39,62.37
7396,205172000101,CHIGORODÓ,ANTIOQUIA,I. E. R.  BARRANQUILLITA,Oficial,A,20,20,7372,227,29,4.147.912.979,4.729.866.028,4.454.987.526,282,294,277,54.00,44.44,88.67,62.37
7397,108001012644,BARRANQUILLA,ATLANTICO,INSTITUCIÓN EDUCATIVA DISTRITAL JESUS MISERICORDIOSO,Oficial,A,52,49,6013,240,30,4.274.125.576,492.387.867,3.849.384.308,291.5,282,294,55.38,43.49,88.25,62.37
7398,205756000684,SONSÓN,ANTIOQUIA,C. E. R. SIRGUA ABAJO,Oficial,A,101,101,8834,206,29,0,0,0,260.5,275,0,37.08,0.00,87.66,62.37
7399,173055000044,ARMERO,TOLIMA,INSTITUCION EDUCATIVA TECNICA INSTITUTO ARMERO,Oficial,A,50,50,5573,244,34,4.336.133.003,4.844.261.646,4.177.594.185,284,286,282,54.80,44.53,87.77,62.37
7400,173001009917,IBAGUÉ,TOLIMA,INST EDUC JORGE ELIECER GAITAN,Oficial,A,81,76,4022,257,37,4.216.021.538,4.568.335.533,3.942.666.292,302,290.5,311,58.03,42.42,86.64,62.36
