Código DANE,País/ET/Municipios,Departamento,Establecimientos educativos,Sector,Calendario,Matriculados,Publicados,PUESTO SABER11,Promedio Puntaje Global SABER 11,Desviación General,FORMULA 1,FORMULA 2,FORMULA 3,TOTAL
315238001430,DUITAMA,BOYACA,COLEGIO CAMPESTRE SAN DIEGO,Privado,A,41,41,59,349,29,0.796,0.808591715,0.923280423,0.842624046
311001000514,BOGOTÁ D.C.,BOGOTÁ D.C.,NUEVO COL LUSADI,Privado,A,23,32,2358,270,39,0.6425,0.682081,0.923174335,0.749251778
252258000390,EL TABLÓN DE GÓMEZ,NARIÑO,INSTITUCION EDUCATIVO  AGROPECUARIA INGA DE APONTE,Oficial,A,23,34,5429,243,42,0.5505,0.60517656,0.923112128,0.692929563
313001002277,CARTAGENA DE INDIAS,BOLIVAR,COL.  MONTESSORI,Privado,A,62,62,145,336,28,0.737,0.754807313,0.923076923,0.804961412
311001036527,BOGOTÁ D.C.,BOGOTÁ D.C.,COL FERVAN,Privado,A,37,37,284,324,27,0.7235,0.823557901,0.923076923,0.823378275
311001010781,BOGOTÁ D.C.,BOGOTÁ D.C.,COL CALASANZ,Privado,A,78,81,89,344,30,0.7845,0.823851903,0.922871246,0.84374105
305154001722,CAUCASIA,ANTIOQUIA,COLEGIO LOS SAUCES,Privado,A,17,17,161,335,28,0.7735,0.76813124,0.922865014,0.821498751
363001002983,SALENTO,QUINDIO,NUEVO GIMNASIO CRISTIANO,Privado,A,13,11,155,335,24,0.7135,0.801248058,0.922862653,0.812536903
311001076146,BOGOTÁ D.C.,BOGOTÁ D.C.,COL PSICOPEDAG LA SABIDURIA,Privado,A,14,14,540,311,26,0.73225,0.759462897,0.922848665,0.804853854
350001004272,VILLAVICENCIO,META,GIMNASIO DOMINGO SAVIO,Privado,A,16,15,197,332,26,0.741,#N/A,0.922835196,#N/A
219142000328,GUACHENÉ,CAUCA,INSTITUCION EDUCATIVA SAN JACINTO,Oficial,A,15,8,9110,180,10,0.547,0.554614798,0.922807018,0.674807272
220710000701,SAN ALBERTO,CESAR,I.E. FUNDACIÓN,Oficial,A,4,4,5790,239,20,0.64025,#N/A,0.922779923,#N/A
311001094403,BOGOTÁ D.C.,BOGOTÁ D.C.,COL REUVEN FEUERSTEIN,Privado,A,17,17,31,358,30,0.83825,0.857472897,0.922680412,0.872801103
305360000180,ITAGÜÍ,ANTIOQUIA,COLEGIO ALEMAN,Privado,A,73,73,70,346,29,0.816,0.853093211,0.922666667,0.863919959
368276000028,FLORIDABLANCA,SANTANDER,COL. NUESTRA SEÑORA DEL ROSARIO,Privado,A,67,67,71,346,29,0.74525,0.832475106,0.922666667,0.833463924
311848000367,BOGOTÁ D.C.,BOGOTÁ D.C.,LICEO DE COLOMBIA BILINGÜE,Privado,A,36,35,88,344,28,0.77075,0.806769753,0.922640382,0.833386712
308001004829,BARRANQUILLA,ATLANTICO,CENTRO POPULAR ATANASIO GIRARDOT,Privado,A,8,9,8492,206,20,0.62575,#N/A,0.922566372,#N/A
405440000789,MARINILLA,ANTIOQUIA,COLEGIO SEMINARIO CORAZONISTA,Privado,A,31,32,39,356,31,0.75425,0.834462674,0.92248062,0.837064432
276828000115,TRUJILLO,VALLE,IE ANTONIOJOSE DE SUCRE,Oficial,A,13,13,7133,226,19,0.639,0.516116969,0.92244898,0.692521983
315001003144,TUNJA,BOYACA,COL MODERNO LA FLORIDA,Privado,A,8,8,182,333,28,0.7565,#N/A,0.922437673,#N/A
308758001819,SOLEDAD,ATLANTICO,COLEGIO METROPOLITANO DE SOLEDAD 2000,Privado,A,120,119,146,336,28,0.68575,0.800298468,0.922435897,0.802828122
